,,,,,,,,,,
"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
110,dq-f[k-, 'kwfVax,232510360,"vk'kh""k dqekj MksMoky",67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2024,50eh- Qzh fiLVy ,jtr
111,dq-f[k-, 'kwfVax,232290457,usgk,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"डा0 कर्णी सिंह शूटिंग रेन्ज, नई दिल्ली",13.12.2024 से 05.01.2025 तक ,2024,50eh- Qzh fiLVy ,dkaL;
112,lkekU;,;ksxk,,fd'ku dqekj feJk,"prqFkZ jk""Vªh; lhfu;j esu ;ksxklu LiksV~Zl pSfEi;uf'ki",rfeyukMq,29-03-2024 ls 31-03-2024,2024,&,Lo.kZ
113,dq-f[k-,rkbZDok.Mks,232330643,e/kq flag,40oha lhfu;j us'kuy rkbZDok.Mks pSfEi;uf'ki,ik.Mqpsjh,17-10-2024 ls 23-10-2024,2024,67fdxzk,jtr
114,dq-f[k-,rkbZDok.Mks,234100082,lhek dukSft;k,40oha lhfu;j us'kuy rkbZDok.Mks pSfEi;uf'ki,ik.Mqpsjh,17-10-2024 ls 23-10-2024,2024,49fdxzk-,dkaL;
115,dq-f[k-,rkbZDok.Mks,232032002,"_f""krk jk;",40oha lhfu;j us'kuy rkbZDok.Mks pSfEi;uf'ki,ik.Mqpsjh,17-10-2024 ls 23-10-2024,2024,62fdxzk-,Lo.kZ
116,dq-f[k-,rkbZDok.Mks,232032002,_f’krk jk;,38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,62fdxzk-,Lo.kZ
117,dq-f[k-,rkbZDok.Mks,232330643,e/kq flag,38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,67fdxzk,dkaL;
118,dq-f[k-,gkWdh,234240454,eksgEen gkfjl,37osa us'kuy xsEl xksok,xksok,30-10-2023 ls 08-11-2023,2023,,dkaL;
119,dq-f[k-,gkWdh,232031894,lwjt iky,14oha gkWdh bf.M;k twfu;j esUl us'kuy pSfEi;uf'ki,tya/kj] iatkc,09-09-24 ls 19-9-24,2024,&,jtr
120,dq-f[k-,gkWdh,232030426,vafdr iztkifr,14oha gkWdh bf.M;k twfu;j esUl us'kuy pSfEi;uf'ki,tya/kj] iatkc,09-09-24 ls 19-9-24,2024,&,jtr
121,dq-f[k-,gkWdh,,"yfyr mik/;k;
vuUr fo'odekZ 
eks- gkfj'k] 
v:.k lkguh",14oha gkWdh bf.M;k lhfu;j esUl us'kuy pSfEi;uf'ki-2024,psUubZ,14-11-2024 ls 16-11-2024,2024,,dkaL;
122,dq-f[k-,twMks,232290213,vfLerk Ms,lhfu;j us'kuy pSfEi;uf'ki,ubZ fnYyh,04-01-2025 ls 07-01-2025,2025,48fdxzk-,jtr
123,dq-f[k-,twMks,232010062,vafre ;kno,lhfu;j us'kuy pSfEi;uf'ki,ubZ fnYyh,04-01-2025 ls 07-01-2025,2025,48fdxzk-,dkaL;
124,dq-f[k-,twMks,232290040,euh 'kekZ,lhfu;j us'kuy pSfEi;uf'ki,ubZ fnYyh,04-01-2025 ls 07-01-2025,2025,60fdxzk-,dkaL;
125,dq-f[k-,twMks,232290213,vfLerk Ms,38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,48fdxzk-,Lo.kZ
126,dq-f[k-,twMks,232010062,vafre ;kno,38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,48fdxzk-,dkaL;
127,dq-f[k-,twMks,232290040,euh 'kekZ,38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,60fdxzk-,dkaL;
128,dq-f[k-,gkWdh,"232030383
234130128
234240454
234130131","pUnu ;kno
izrhd fuxe
eksgEen gkfj'k
v:.k lkguh",38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,gkWdh Vhe bosUV,jtr
129,dq-f[k-,gS.Mcky,"232511073
232010147
234103616
232030400
232032174
232290633","euds'k
fodzkUr flag
 'kkg:[k uokt
vfer flag
 'kqHke ljkst
veku pkS/kjh",36oha QsMjs'ku di pSfEi;uf'ki,xksj[kiqj,23-05-2025 ls 26-05-2025,2025,gS.Mcky,dkaL;
130,"lkeU;
dq-f[k-
dq-f[k-
dq-f[k-",ckLdsVcky,"182664351
232290516
232510878 
3249 CP ","lR;thr pijkuk
fnfXot; flag
g""kZ Mkxj
dq'ky flag", 4th 3x3 Senior National Basketball Championship (men/women) ,cSaxyksj,17-1-25 ls 19-1-2025,2025,Vhe pSfEif'ki,jtr
131,dq-f[k-,बास्केटबाल,,"g""kZ Mkxj] dq'ky flag] eks- dSQ",13वीं जूनियर नेशनल बास्केटबाल चैम्‍पियनशिप,,04-02-2024 ls 12-02-2024,2024,,Lo.kZ
132,dq-f[k-,ckLdsVcky,,"fnfXot; flag
g""kZ Mkxj
dq'ky flag",;wFk&23 3x3 us'kuy ckLdsVcky pSfEi;uf'ki 2025,dsjy,12-06-2025 ls 14-06-2025,2025,,Lo.kZ
133,dq-f[k-,dcM~Mh,&,"Jh vtqZu ns'koky
 'kqHke dqekj",38osa us'kuy xsEl 2025,nsgjknwu] mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,&,Lo.kZ
134,dq-f[k-,dcM~Mh,232290167,vuq,38osa us'kuy xsEl 2025,mRrjk[k.M,28-01-2025 ls 14-02-2025,2025,Vhe ,jtr
