vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
83,lkekU;,;ksxk,&,"म.आ. रितू, म.आ. मोनिका शुक्ला",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,28-35 रिदमिक पेयर,dkaL;
84,lkekU;,;ksxk,&,"मु.आ. सुमित कुमार, आ. पंकज कुमार, आ. राजकुमार बिन्द, आ.प्रदीप कुमार, आ. सुभम कुमार",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,18-28 आरटिस्टिक ग्रुप,Lo.kZ
85,dq-f[k-,okVj LiksVZ~l,&,"आ. सत्यम बालियान, आ. बलवीर जाट",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,क्याकिंग K-2 1000 मीटर,Lo.kZ
86,dq-f[k-,okVj LiksVZ~l,&,"आ. करनबीर सिंह बिन्दर, आ. सोभित पाण्डेय",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग डबल स्कल 1000 मीटर,Lo.kZ
87,dq-f[k-,okVj LiksVZ~l,&,"आ.आदित्य सिंह, आ.सुखदीप सिंह",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग पेयर 1000 मीटर,dkaL;
88,dq-f[k-,okVj LiksVZ~l,&,"आ. निखिल कुमार, आ. सोयल, आ. आदित्य सिंह, आ. सुखदीप सिंह",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग फोर 1000 मीटर,jtr
89,dq-f[k-,okVj LiksVZ~l,&,आ.सोभित पाण्डेय,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग सिंगल स्कल 500 मीटर,jtr
90,dq-f[k-,okVj LiksVZ~l,&,"आ. 232031780 आदित्य सिंह, आ. 232290343 सुखदीप सिंह",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग पेयर 500 मीटर,Lo.kZ
91,dq-f[k-@lk-,okVj LiksVZ~l,&,"आ. 232090372 सत्यम बालियान  234240496 विकास मौर्या   
232010118 बलवीर जाट     
190721163 बृजमोहन",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,"क्याकिंग K-4 500 मीटर, क्याकिंग K-4 500 मीटर, क्याकिंग K-4 500 मीटर, क्याकिंग K-4 500 मीटर",jtr
92,dq-f[k-,okVj LiksVZ~l,&,"आ. 232290343 करनबीर सिंह भिन्डर, आ. लोकेश",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,रोइंग डबल स्कल 500 मीटर,Lo.kZ
93,dq-f[k-,okVj LiksVZ~l,&,"आ. अभिमन्यू पटेल, आ. 232510908 महेन्द्र सिंह, आ. 232510227 सागर चौधरी, आ. 232510937 हर्ष कुमार",23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,tEew d'ehj,2-03-2024 ls 08-03-2024,2024,क्याकिंग K-4 200 मीटर,jtr
94,dq-f[k-,cSMfeUVu,&,vkj{kh jktu ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu flaxYl iq:’k ,Lo.kZ
95,dq-f[k-,cSMfeUVu,&,e-vkj{kh fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,efgyk vksiu flaxYl,Lo.kZ
96,dq-f[k-,cSMfeUVu,&,vkj{kh jktu ;kno] e-vkj{kh fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu feDl McYl,Lo.kZ
97,lkekU;,cSMfeUVu,&,ihlh /khjsUnz dqekj ik.Ms; o m-fu- mes'kpUnz iVsy,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,osVju izfr;ksfxrk 50$ McYl,jtr 
98,lkekU;,cSMfeUVu,&,ihlh /khjsUnz dqekj ik.Ms;,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,osVju izfr;ksfxrk 50$ iq:’k flaxYl,jtr 
99,dq-f[k-,cSMfeUVu,&,e-vkj{kh fjpk ;kno,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu flaxYl,dkaL; 
100,dq-f[k-,cSMfeUVu,&,vkj{kh jktu ;kno o vkj{kh dfiy pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,vksiu McYl iq:’k,dkaL;
101,dq-f[k-,cSMfeUVu,&,e-vkj{kh fjpk ;kno o e-vk- fleju pkS/kjh,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,rsyaxkuk] gSnjkckn,17-03-2024 ls 21-03-2024,2024,efgyk vksiu McYl,dkaL;
102,lkekU;, 'kwfVax M~;wVh ehV,142060027,e-vkj{kh ljkst,25oha vf[ky Hkkjrh; iqfyl 'kwfVax M~;wVhehV izfr;ksfxrk ¼efgyk½ 2024&25,vksFkhoDde] rfeyukMw,15-06-2024 ls 20-06-2024,2024,300 xt jkbQy LuSi 'kwfVax,Lo.kZ
103,dq-f[k-,oq'kw,232290125,e-vkj{kh fiz;adk,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,rkmyw,Lo.kZ
104,dq-f[k-,oq'kw,232330252,vkj{kh eksfgr Fkkik,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,rkmyw,jtr
105,dq-f[k-,oq'kw,232330353,e-vk- izhrh,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,56fdxzk-,jtr
106,dq-f[k-,oq'kw,232330207,vkj{kh fufru pkS/kjh,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,65fdxzk,jtr
107,dq-f[k-,oq'kw,232510751,vkj{kh fpUVw ukxj,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,$90fdxzk-,Lo.kZ
108,dq-f[k-,oq'kw,232030224,vkj{kh lwjt ;kno,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,70fdxzk,dkaL;
109,dq-f[k-,oq'kw,232650022,e-vk- gqek [kku,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,48fdxzk-,dkaL;
110,dq-f[k-,oq'kw,232510546,e-vk- izsj.kk,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,60fdxzk-,dkaL;
111,dq-f[k-,oq'kw,232010075,e-vk- Jqfr ljoS;k,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,65fdxzk,dkaL;
112,lkekU;,oq'kw,191863590,vk- fodkl lgjkor lkekU;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,85fdxzk-,dkaL;
113,lkekU;,rkbZDok.Mks,182702697,vkj{kh lquhy,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,87$,dkaL;
114,lkekU;,rkbZDok.Mks,202481238,vkj{kh lksuw ckfy;ku,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,74,dkaL;
115,dq-f[k-,rkbZDok.Mks,232510155,e-vkj{kh iwtk,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,62,Lo.kZ
116,dq-f[k-,rkbZDok.Mks,&,e-vkj{kh vuh'kk,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,53,Lo.kZ
117,dq-f[k-,rkbZDok.Mks,234103603,e-vkj{kh fj;k dukSft;k,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,46,jtr
118,dq-f[k-,rkbZDok.Mks,234100082,e-vk- lhek dukSft;k,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,49fdxzk-,Lo.kZ
119,dq-f[k-,rkbZDok.Mks,232032002,e-vk- _f’krk jk;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,57fdxzk-,jtr
120,dq-f[k-,rkbZDok.Mks,232290659,vk- nsokax 'kekZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,63fdxzk-,dkaL;
121,dq-f[k-,rkbZDok.Mks,232510142,e-vk- [kq'kcw ;kno,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,73fdxzk-,Lo.kZ
122,dq-f[k-,rkbZDok.Mks,232330643,e-vk- e/kw flag,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,67fdxz-,Lo.kZ
123,dq-f[k-,rkbZDok.Mks,232032187,"vk- _f""k jk;","09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,68fdxz-,Lo.kZ
124,dq-f[k-,twMks,232290213,e-vkj{kh vfLerk Ms,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,48fdxzk-,Lo.kZ
125,dq-f[k-,twMks,232330119,vkj{kh fo'kky pkSgku,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,90fdxzk-,dkaL;
126,dq-f[k-,twMks,232510823,vkj{kh lquhy,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,$100fdxzk-,Lo.kZ
127,lkekU;,isapd flykV,192132552,e-vk- 'khry nsoh,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,45fdxzk-,Lo.kZ
128,lkekU;,isapd flykV,182423329,e-vk- T;ksfr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,55fdxzk,jtr
129,lkekU;,isapd flykV,112292225,eq-vk- eukst dqekj,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,90fdxzk-,jtr
130,lkekU;,isapd flykV,190481232,vk- nhid,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,85fdxzk,dkaL;
131,lkekU;,isapd flykV,162531321,vk- vfer dqekj,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,80fdxzk,dkaL;
132,lkekU;,isapd flykV,180520305,vk- fxj/kkjh yky,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,50fdxzk-,dkaL;
133,lkekU;,isapd flykV,190713243,vk- uohu,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,45fdxzk-,dkaL;
134,lkekU;,isapd flykV,182271074,e-vk- fiz;k flag,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,60fdxzk,dkaL;
135,lkekU;,isapd flykV,180570241,lqjsUnz dqekj ;kno,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",vklke,"24-06-2024 ls 
30-06-2024",2024,55fdxzk,dkaL;
136,lkekU;, 'kwfVax M~;wVhehV,&,e-vkj{kh ljkst,vf[ky Hkkjrh; iqfyl 'kwfVax pSfEi;uf'ki QkWj owesu,rfeyukMw,15-06-2024 ls 20-06-2024,2024,300xt jkbQy LuSi 'kwfVax,Lo.kZ
137,dq-f[k-,dq'rh,234100255,vk- vuwi dqekj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,55 fdxzk-,Lo.kZ
138,dq-f[k-,dq'rh,232510168,vk- vafdr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,63 fdxzk-,jtr
139,dq-f[k-,dq'rh,232510171,vk- lfpu,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,67 fdxzk-,Lo.kZ
140,dq-f[k-,dq'rh,232330571,vk- eksfgr [kks[kj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,97 fdxzk-,Lo.kZ
141,dq-f[k-,dq'rh,234240438,vk- fo'kky lkguh,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,57 fdxzk-,Lo.kZ
142,dq-f[k-,dq'rh,232510054,vk- jfoUnz,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,61 fdxzk-,Lo.kZ
143,dq-f[k-,dq'rh,232290170,"vk- vk;q""k dqekj",73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,65 fdxzk-,Lo.kZ
144,dq-f[k-,dq'rh,232510038,"vk- vfHk""ksd",73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,70 fdxzk-,jtr
145,dq-f[k-,dq'rh,232031810,vk- rstohj flag ;kno,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,74 fdxzk-,dkaL;
146,dq-f[k-,dq'rh,232510070,vk- vejiky,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,79 fdxzk-,dkaL;
147,dq-f[k-,dq'rh,232031807,vk- xksfoUn dqekj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,86 fdxzk-,jtr
148,dq-f[k-,dq'rh,232010150,e-vk- fiz;ka'kh iztkifr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,53,jtr
149,dq-f[k-,dq'rh,232510403,e-vk- laxhrk,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,55,jtr
150,dq-f[k-,dq'rh,232032073,e-vk- ekulh ;kno,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,55,dkaL;
151,dq-f[k-,dq'rh,234103599,"e-vk- iq""ik ;kno",73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,62,dkaL;
152,dq-f[k-,dq'rh,232510275,e-vk- latw nsoh,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,65,Lo.kZ
153,dq-f[k-,dq'rh,232510344,e-vk- fu'kk,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,72,dkaL;
154,lkekU;,dq'rh,192611044,e-vk- fjpk 'kekZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,50,dkaL;
155,lkekU;,dq'rh,182664335,e-vk- uhye rksej,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,76,jtr
156,lkekU;,vkeZ jsfLyax,194060053,vk- vt; iky,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,55 fdxzk-,Lo.kZ
157,lkekU;,vkeZ jsfLyax,112761530,e-eq-vk- nhik pkS/kjh,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,80$ fdxzk-,Lo.kZ
158,lkekU;,vkeZ jsfLyax,191860344,eq-vk- fodkl ukxj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,110 fdxzk-,jtr
159,lkekU;,vkeZ jsfLyax,212022946,vk- 'kqHke ukxj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,100 fdxzk-,dkaL;
160,lkekU;,vkeZ jsfLyax,052330197,eq-vk- latho rsofr;k,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,110$ fdxzk-,dkaL;
161,lkekU;,vkeZ jsfLyax,190732750,vk- jkgqy dqekj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,85 fdxzk-,Lo.kZ
162,lkekU;,vkeZ jsfLyax,190754963,vk- jkgqy jkds'k,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,80 fdxzk-,jtr
163,dq-f[k-,ckfDalx,232330135,vk- xxunhi,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,71 fdxzk-,jtr
164,dq-f[k-,ckfDalx,232330018,vk- jkWdh pkS/kjh,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,80 fdxzk-,jtr
165,dq-f[k-,ckfDalx,232650080,"vk- d`"".kk flag",73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,86 fdxzk-,jtr
166,dq-f[k-,ckfDalx,232330157,आ. जावेद,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,51 fdxzk-,dkaL;
167,dq-f[k-,ckfDalx,232330223,आ. सुनील चौहान,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,60 fdxzk-,dkaL;
168,dq-f[k-,ckfDalx,234130229,आ. सक्षम सिंह,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,67 fdxzk-,dkaL;
169,dq-f[k-,ckfDalx,234240353,आ. विशाल यादव,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,92 fdxzk-,dkaL;
170,dq-f[k-,ckfDalx,232510706,म.आ. कुसुम,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,54 fdxzk-,dkaL;
171,dq-f[k-,ckfDalx,232510559,म.आ. सिवी,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,60 fdxzk-,dkaL;
172,lkekU;,ckMh fcfYMax,62018047,मु आ सन्दीप कुमार,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,100 fdxzk-,jtr
173,lkekU;,ckMh fcfYMax,162332373,आ रिंकू भाटी,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,90 fdxzk-,dkaL;
174,lkekU;,ikoj fyf¶Vax,182141645,e-vk- jtuh,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,47 fdxzk-,jtr
175,lkekU;,ikoj fyf¶Vax,192412155,e-vk- iwtk ukxj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,52 fdxzk-,jtr
176,lkekU;,ikoj fyf¶Vax,182536348,e-vk- laxhrk,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,57 fdxzk-,jtr
177,lkekU;,ikoj fyf¶Vax,182670637,"e-vk- iq""ik pkgj",01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,63 fdxzk-,Lo.kZ
178,lkekU;,ikoj fyf¶Vax,190755634,vk- jkds'k dqekj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,59 fdxzk-,jtr
179,lkekU;,ikoj fyf¶Vax,152012946,vk- iou dqekj 'kekZ,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,66 fdxzk-,Lo.kZ
