,,,,,
 उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण
131,fl)kUr pkS/kjh,HkkjksRrksyu,Lo.kZ,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
132,गौरव शर्मा, 'kwfVax LiksV~lZ,dkaL;,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,Qjhnkckn
133,गौरव शर्मा, 'kwfVax LiksV~lZ,Lo.kZ,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,Qjhnkckn
134,गौरव शर्मा, 'kwfVax LiksV~lZ,Lo.kZ,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,Qjhnkckn
135,गौरव शर्मा, 'kwfVax LiksV~lZ,Lo.kZ,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,Qjhnkckn
136,गौरव शर्मा, 'kwfVax LiksV~lZ,jtr,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,Qjhnkckn
137,मनीषा पाल, 'kwfVax LiksV~lZ,Lo.kZ,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,mRrj izns'k
138,"euh""kk iky", 'kwfVax LiksV~lZ,Lo.kZ,22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,mRrj izns'k
139,usgk, 'kwfVax LiksV~lZ,jtr,22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,mRrj izns'k
140,"e- vkj{kh euh’kk iky o 
e-vkj{kh usgk ", 'kwfVax LiksV~lZ,Lo.kZ,22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,mRrj izns'k
141,xkSjo 'kekZ, 'kwfVax LiksV~lZ,dkaL;,22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,mRrj izns'k
142,"अमन रावल 
शशांक त्रिपाठी ", 'kwfVax LiksV~lZ,dkaL;,67वीं ओपन राष्ट्रीय शूटिंग (राइफल) प्रतियोगिता ,"gfj;k.kk
mRrj izns'k"
143,"निशान्त तोमर
आलोक गोयल", 'kwfVax LiksV~lZ,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
144,vadqj, 'kwfVax LiksV~lZ,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
145,"vueksy vjksMk
ekuosUnz pkS/kjh", 'kwfVax LiksV~lZ,Lo.kZ,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"fnYyh
mRrj izns'k"
146,"vk'kh""k dqekj MksMoky
xkSjo 'kekZ", 'kwfVax LiksV~lZ,Lo.kZ,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"fnYyh
Qjhnkckn"
147,"vueksy vjksMk
vkyksd xks;y", 'kwfVax LiksV~lZ,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,"fnYyh
mRrj izns'k"
148,vYdqe fu'kk, 'kwfVax LiksV~lZ,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
149,"usgk
euh""kk iky", 'kwfVax LiksV~lZ,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
150,usgk, 'kwfVax LiksV~lZ,dkaL;,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
151,"vk'kh""k dqekj MksMoky", 'kwfVax LiksV~lZ,dkaL;,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,fnYyh
152,"vk'kh""k dqekj MksMoky", 'kwfVax LiksV~lZ,jtr,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,fnYyh
153,usgk, 'kwfVax LiksV~lZ,dkaL;,67वीं ओपन राष्ट्रीय शूटिंग (पिस्टल) प्रतियोगिता ,mRrj izns'k
154,eq-vk- foosd efyd, 'kwfVax LiksV~lZ,dkaL;,62oha us'kuy 'kwfVax pSfEi;uf'ki,mRrj izns'k
155,"vkj{kh fu”kkar rksej
vkj{kh xkSjo “kekZ
vkj{kh vueksy vjksjk", 'kwfVax LiksV~lZ,dkaL;,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,"mRrj izns'k
Qjhnkckn
fnYyh"
156,vkj{kh veu jkoy, 'kwfVax LiksV~lZ,dkaL;,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,gfj;k.kk
157,"e-vkj{kh vYdqe fu'kk
e-vkj{kh jf'e dqekjh
e-vkj{kh iwtk oekZ", 'kwfVax LiksV~lZ,Lo.kZ,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
158,vkj{kh 'k'kkad f=ikBh, 'kwfVax LiksV~lZ,Lo.kZ,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
159,"e-vkj{kh euh""kk iky
e-vkj{kh usgk
e-vkj{kh efgek dEckst", 'kwfVax LiksV~lZ,Lo.kZ,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
160,"e-vkj{kh euh""kk iky", 'kwfVax LiksV~lZ,Lo.kZ,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
161,e-vkj{kh usgk, 'kwfVax LiksV~lZ,jtr,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
162,e-vkj{kh vYdqe fu'kk, 'kwfVax LiksV~lZ,jtr,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
163,e-vk- :fpdk flag,lkbfDyax,dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",gfj;k.kk
164,vkj{kh eqdqy,lkbfDyax,dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
165,e-vkj{kh vkjrh,lkbfDyax,Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrjk[k.M
166,e-vkj{kh vkjrh,lkbfDyax,jtr,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrjk[k.M
167,"आ. सत्यम बालियान
आ. बलवीर जाट",okVj LiksVZ~l,Lo.kZ,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,"mRrj izns'k
e/;izns'k"
168,"आ. करनबीर सिंह बिन्दर, आ. सोभित पाण्डेय",okVj LiksVZ~l,Lo.kZ,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,mRrj izns'k
169,"आ.आदित्य सिंह, आ.सुखदीप सिंह",okVj LiksVZ~l,dkaL;,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,mRrj izns'k
170,"आ. निखिल कुमार
आ. सोयल
आ. आदित्य सिंह
आ. सुखदीप सिंह",okVj LiksVZ~l,jtr,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,"mRrj izns'k
e/; izns'k
mRrj izns'k
mRrj izns'k"
171,आ.सोभित पाण्डेय,okVj LiksVZ~l,jtr,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,mRrj izns'k
172,"आ. 232031780 आदित्य सिंह, 
आ. 232290343 सुखदीप सिंह",okVj LiksVZ~l,Lo.kZ,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,mRrj izns'k
173,"आ. 232090372 सत्यम बालियान 
आ. 234240496 विकास मौर्या   
आ. 232010118 बलवीर जाट ",okVj LiksVZ~l,jtr,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,"mRrj izns'k
mRrj izns'k
e/;izns'k"
174,"आ. 232290343 करनबीर सिंह भिन्डर, 
आ. लोकेश",okVj LiksVZ~l,Lo.kZ,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,mRrj izns'k
175,"आ. अभिमन्यू पटेल, 
आ. 232510908 महेन्द्र सिंह, 
आ. 232510227 सागर चौधरी, 
आ. 232510937 हर्ष कुमार",okVj LiksVZ~l,jtr,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,"mRrj izns'k
mRrj izns'k
mRrjk[k.M
mRrj izns'k"
176,"djuchj flag fHkUMj
“kksfHkr ik.Ms;",okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
177,"nhika”kq Hkkjrh;
g’kZ dqekj
jkSud",okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
mRrjk[k.M
mRrj izns'k"
178,"vkfnR; flag
yksds”k
fuf[ky dqekj
lks;y",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
gfj;k.kk
fnYyh
e/;izns'k"
179,"iznhi dqekj
vHk;",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
180,"lR;e ckfy;ku
cyohj tkV",okVj LiksVZ~l,dkaL;, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
e/;izns'k"
181,"vt;ohj flag
g’kZ ukany
fiz;ka”kq ukxj
doythr flag",okVj LiksVZ~l,dkaL;, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
gfj;k.kk
fnYyh
iatkc"
182,fo'kky dqekj,okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
183,fo'kky dqekj,okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
184,"nhika”kq Hkkjrh;
vfHkuo
g’kZ dqekj
jkSud",okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
mRrj izns'k
mRjk[k.M
mRrj izns'k"
185,vfHkeU;q iVsy,okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
186,"fufru flag
vHk;
g""kZ ukany
iznhi dqekj",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"fnYyh
mRrj izns'k
gfj;k.kk
mRrj izns'k"
187,"iznhi dqekj
vHk;",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
188,"lR;e ckfy;ku
cyohj tkV",okVj LiksVZ~l,dkaL;, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
e/;izns'k"
189,xksfoUn flag jktiwr,okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,e/; izns'k
190,"djuchj flag fHkUMj
“kksfHkr ik.Ms;",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
191,"vHk;
fiz;ka'kq ukxj",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrjk[k.M
fnYyh"
192,jktu dqekj,okVjLiksVZ~l,dkaL;,fQfyfiUl esa vk;ksftr ICF Dragon Boat wold Championship ,iatkc
193,बलवीर जाट,okVjLiksVZ~l,jtr,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023 ,e/; izns'k
194,अजयवीर सिंह,okVjLiksVZ~l,jtr,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
195,प्रदीप कुमार,okVjLiksVZ~l,dkaL;,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
196,प्रदीप कुमार,okVjLiksVZ~l,jtr,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
197,विशाल कुमार,okVjLiksVZ~l,jtr,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
198,विशाल कुमार,okVjLiksVZ~l,dkaL;,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
199,प्रशान्त तोमर,okVjLiksVZ~l,dkaL;,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
200,विक्रान्त डबास,okVjLiksVZ~l,dkaL;,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
201,सत्यम बालियान,okVjLiksVZ~l,jtr,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
202,सुखदीप सिंह,okVjLiksVZ~l,Lo.kZ,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,mRrj izns'k
203,आदित्य सिंह,okVjLiksVZ~l,Lo.kZ,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,mRrj izns'k
204,लोकेश,okVjLiksVZ~l,Lo.kZ,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,gfj;k.kk
205,शोभित पाण्डेय,okVjLiksVZ~l,dkaL;,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,mRrj izns'k
206,करनबीर सिंह बिन्दर,okVjLiksVZ~l,dkaL;,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,mRrj izns'k
207,करनबीर सिंह बिन्दर,okVjLiksVZ~l,dkaL;,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,mRrj izns'k
208,"अभय
प्रदीप कुमार",okVjLiksVZ~l,dkaL;,35वीं सीनियर नेशनल कैनो स्प्रिन्ट महिला/पुरूष,"mRrjk[k.M
mRrj izns'k"
209,"अभय
प्रदीप कुमार",okVjLiksVZ~l,jtr,35वीं सीनियर नेशनल कैनो स्प्रिन्ट महिला/पुरूष,"mRrjk[k.M
mRrj izns'k"
210,"सत्यम बालियान
बलवीर जाट",okVjLiksVZ~l,jtr,35वीं सीनियर नेशनल कैनो स्प्रिन्ट महिला/पुरूष,"mRrj izns'k
e/;izns'k"
211,"vHk;
iznhi dqekj",okVjLiksVZ~l,dkaL;,38osa us'kuy xsEl 2025,"mRrjk[k.M
mRrj izns'k"
212,djuohj flag fHkUMj,okVjLiksVZ~l,Lo.kZ,42oha lhfu;j us”kuy jksbZx izfr;ksfxrk,mRrj izns'k
213,"e-vkj{kh eerk iky
e-vkj{kh f”kYih ;kno
e-vkj{kh izseyrk
e-vkj{kh dkty pdzorhZ",ØkWld.Vªh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
214,"vkj{kh fizUl dqekj
vkj{kh fj’khiky flag
vkj{kh nsosUnz pkS/kjh",ØkWld.Vªh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
215,vkj{kh fizUl dqekj,ØkWld.Vªh,jtr,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
216,e-vkj{kh eerk iky,ØkWld.Vªh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
217,e-vkj{kh fiz;adk,oq'kw,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",iatkc
218,vkj{kh eksfgr Fkkik,oq'kw,jtr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
219,e-vk- izhrh,oq'kw,jtr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
220,vkj{kh fufru pkS/kjh,oq'kw,jtr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
221,vkj{kh fpUVw ukxj,oq'kw,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
222,vkj{kh lwjt ;kno,oq'kw,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
223,e-vk- gqek [kku,oq'kw,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
224,e-vk- izsj.kk,oq'kw,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",fnYyh
225,e-vk- Jqfr ljoS;k,oq'kw,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",fnYyh
226,e-vkj{khgqek [kku,oq'kw,Lo.kZ,5th Acropolis International Wushu open Tournament,mRrj izns'k
227,f”koe,oq'kw,Lo.kZ,5th Acropolis International Wushu open Tournament,gfj;k.kk
228,e-vkj{kh izhrh,oq'kw,Lo.kZ,5th Acropolis International Wushu open Tournament,mRrj izns'k
229,lwjt ;kno,oq'kw,Lo.kZ,eksLdks oq'kw LVkj pSfEi;uf'ki,mRrj izns'k
230,fufru pkS/kjh,oq'kw,dkaL;,"f}rh; oq'kw lk.Mk ,f'k;k di",mRrj izns'k
231,प्रेरणा,oq'kw,dkaL;,37वें नेशनल गेम्स 2023 ,fnYyh
232,fiz;adk,oq'kw,jtr,37वें नेशनल गेम्स 2023 ,iatkc
233,रवि सूर्यवंशी,oq'kw,jtr,37वें नेशनल गेम्स 2023 ,mRrj izns'k
234,jfo lw;Zoa”kh,oq'kw,Lo.kZ,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",mRrj izns'k
235,jfo lw;Zoa”kh,oq'kw,jtr,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",mRrj izns'k
236,eksfgr Fkkik,oq'kw,dkaL;,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",mRrj izns'k
237,Jqfr ljoS;k,oq'kw,Lo.kZ,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",mRrj izns'k
238,lwjt ;kno,oq'kw,Lo.kZ,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",mRrj izns'k
239,veu,oq'kw,dkaL;,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",gfj;k.kk
240,fiz;adk,oq'kw,jtr,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",iatkc
241,eksfgr Fkkik,oq'kw,jtr,38osa us'kuy xsEl 2025,mRrj izns'k
242,lwjt ;kno,oq'kw,Lo.kZ,38osa us'kuy xsEl 2025,mRrj izns'k
243,Jqfr ljoS;k,oq'kw,Lo.kZ,38osa us'kuy xsEl 2025,fnYyh
244,izsj.kk,oq'kw,Lo.kZ,38osa us'kuy xsEl 2025,fnYyh
245,fiza;dk,oq'kw,jtr,8oha QsMjs'ku di us'kuy oq'kw pSfEi;uf'ki ¼vksyfEid la?k ls ekU;rk izkIr ugha½,iatkc
246,fiza;dk,oq'kw,jtr,8oha QsMjs'ku di us'kuy oq'kw pSfEi;uf'ki ¼vksyfEid la?k ls ekU;rk izkIr ugha½,iatkc
247,jfo lw;Zoa”kh,oq'kw,Lo.kZ,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,mRrj izns'k
248,_’kHk ukxj,oq'kw,Lo.kZ,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,mRrj izns'k
249,fpUVw ukxj,oq'kw,Lo.kZ,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,mRrj izns'k
250,Jqfr ljoS;k,oq'kw,Lo.kZ,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,fnYyh
251, fiz;adk,oq'kw,jtr,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,iatkc
252, fiz;adk,oq'kw,dkaL;,34oha lhfu;j jk’Vªh; oq'kw izfr;ksfxrk ,iatkc
253,e-vkj{kh iwtk,rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrjk[k.M
254,e-vkj{kh vuh'kk,rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
255,e-vkj{kh fj;k dukSft;k,rkbZDok.Mks,jtr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
256,e-vk- lhek dukSft;k,rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
257,e-vk- _f’krk jk;,rkbZDok.Mks,jtr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
258,vk- nsokax 'kekZ,rkbZDok.Mks,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",jktLFkku
259,e-vk- [kq'kcw ;kno,rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrjk[k.M
260,e-vk- e/kw flag,rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
261,"vk- _f""k jk;",rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
262,e/kq flag,rkbZDok.Mks,dkaL;,"cSadkd] FkkbZyS.M esa vk;ksftr vUrZjk""Vªh; rkbZDok.Mks izf'k{k.k ,Dlikstj",mRrj izns'k
263,e/kq flag,rkbZDok.Mks,jtr,40oha lhfu;j us'kuy rkbZDok.Mks pSfEi;uf'ki,mRrj izns'k
264,lhek dukSft;k,rkbZDok.Mks,dkaL;,40oha lhfu;j us'kuy rkbZDok.Mks pSfEi;uf'ki,mRrj izns'k
265,"_f""krk jk;",rkbZDok.Mks,Lo.kZ,40oha lhfu;j us'kuy rkbZDok.Mks pSfEi;uf'ki,mRrj izns'k
266,_f’krk jk;,rkbZDok.Mks,Lo.kZ,38osa us'kuy xsEl 2025,mRrj izns'k
267,e/kq flag,rkbZDok.Mks,dkaL;,38osa us'kuy xsEl 2025,mRrj izns'k
268,jksfgr 'kekZ,rSjkdh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
269,fj;k oekZ,rSjkdh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
270,jksfgr 'kekZ,rSjkdh,jtr,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
271,"rq""kkj jk;
gf""kZr fujoku
fj;k oekZ
oUnuk lkguh",rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
272,fj;k oekZ,rSjkdh,jtr ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
273,oUnkuk lkguh,rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
274,vukfedk lkguh,rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
275,fj;k oekZ,rSjkdh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
276,oUnkuk lkguh,rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
277,oUnkuk lkguh,rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
278,vukfedk lkguh,rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
279,vkj{kh jksfgr “kekZ,rSjkdh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
280,म.आ.सीमा,twMks,रजत,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,mRrj izns'k
