,,,,,
 उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण
141,"nhika”kq Hkkjrh;
g’kZ dqekj
jkSud",okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
mRrjk[k.M
mRrj izns'k"
142,"vkfnR; flag
yksds”k
fuf[ky dqekj
lks;y",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
gfj;k.kk
fnYyh
e/;izns'k"
143,"iznhi dqekj
vHk;",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
144,"lR;e ckfy;ku
cyohj tkV",okVj LiksVZ~l,dkaL;, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
e/;izns'k"
145,"vt;ohj flag
g’kZ ukany
fiz;ka”kq ukxj
doythr flag",okVj LiksVZ~l,dkaL;, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
gfj;k.kk
fnYyh
iatkc"
146,fo'kky dqekj,okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
147,fo'kky dqekj,okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
148,"nhika”kq Hkkjrh;
vfHkuo
g’kZ dqekj
jkSud",okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
mRrj izns'k
mRjk[k.M
mRrj izns'k"
149,vfHkeU;q iVsy,okVj LiksVZ~l,Lo.kZ, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
150,"fufru flag
vHk;
g""kZ ukany
iznhi dqekj",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"fnYyh
mRrj izns'k
gfj;k.kk
mRrj izns'k"
151,"iznhi dqekj
vHk;",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
152,"lR;e ckfy;ku
cyohj tkV",okVj LiksVZ~l,dkaL;, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrj izns'k
e/;izns'k"
153,xksfoUn flag jktiwr,okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,e/; izns'k
154,"djuchj flag fHkUMj
“kksfHkr ik.Ms;",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,mRrj izns'k
155,"vHk;
fiz;ka'kq ukxj",okVj LiksVZ~l,jtr, 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,"mRrjk[k.M
fnYyh"
156,"vkj{kh la{ksi ;kno
luh flag
eks- vQlkj [kku
vkdk”k vk;Z
lanhi dqekj
Hkxr flag
v{kr",ftEukfLVd,dkaL;,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,"mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrjk[k.M
mRrj izns'k"
157,luh flag,ftEukfLVd,dkaL;,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,mRrj izns'k
158,Hkxr flag,ftEukfLVd,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,mRrjk[k.M
159,v{kr,ftEukfLVd,jtr,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,mRrj izns'k
160,vkdk”k vk;Z,ftEukfLVd,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,p.Mhx<
161,"vt; jkBh
fofur uSu
/kuUt; dqekj
yfyr pkS/kjh
'kqHke dqekj
vktkn flag
vtosUnz flag
ikfjrks'k rsofr;k
fuxe pkS/kjh
vadq'k dqekj
fodze izrki falag",dcM~Mh,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,mRrj izns'k
162,"f'kokuh
Lusgk
vpZuk ;kno
csoh ;kno
eUuw
vuq
fiz;k
o""kkZ rkfy;ku
vpZuk
o""kkZ R;kxh
lksfudk ukxj
usgk",dcM~Mh,jtr,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,"mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
gfj;k.kk
mRrj izns'k
gfj;k.kk
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k"
163,jksfgr 'kekZ,rSjkdh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
164,fj;k oekZ,rSjkdh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
165,jksfgr 'kekZ,rSjkdh,jtr,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
166,"rq""kkj jk;
gf""kZr fujoku
fj;k oekZ
oUnuk lkguh",rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
167,fj;k oekZ,rSjkdh,jtr ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
168,oUnkuk lkguh,rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
169,vukfedk lkguh,rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
170,fj;k oekZ,rSjkdh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
171,oUnkuk lkguh,rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
172,oUnkuk lkguh,rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
173,vukfedk lkguh,rSjkdh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
174,vkj{kh jksfgr “kekZ,rSjkdh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
175,"e-vkj{kh eerk iky
e-vkj{kh f”kYih ;kno
e-vkj{kh izseyrk
e-vkj{kh dkty pdzorhZ",ØkWld.Vªh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
176,"vkj{kh fizUl dqekj
vkj{kh fj’khiky flag
vkj{kh nsosUnz pkS/kjh",ØkWld.Vªh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
177,vkj{kh fizUl dqekj,ØkWld.Vªh,jtr,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
178,e-vkj{kh eerk iky,ØkWld.Vªh,dkaL;,72oha vf[ky Hkkjrh; iqfyl rSjkdh@ØkWld.Vªh izfr;ksfxrk 2024&25,mRrj izns'k
179,"vkj{kh fu”kkar rksej
vkj{kh xkSjo “kekZ
vkj{kh vueksy vjksjk", 'kwfVax LiksV~lZ,dkaL;,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,"mRrj izns'k
Qjhnkckn
fnYyh"
180,vkj{kh veu jkoy, 'kwfVax LiksV~lZ,dkaL;,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,gfj;k.kk
181,"e-vkj{kh vYdqe fu'kk
e-vkj{kh jf'e dqekjh
e-vkj{kh iwtk oekZ", 'kwfVax LiksV~lZ,Lo.kZ,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
182,vkj{kh 'k'kkad f=ikBh, 'kwfVax LiksV~lZ,Lo.kZ,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
183,"e-vkj{kh euh""kk iky
e-vkj{kh usgk
e-vkj{kh efgek dEckst", 'kwfVax LiksV~lZ,Lo.kZ,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
184,"e-vkj{kh euh""kk iky", 'kwfVax LiksV~lZ,Lo.kZ,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
185,e-vkj{kh usgk, 'kwfVax LiksV~lZ,jtr,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
186,e-vkj{kh vYdqe fu'kk, 'kwfVax LiksV~lZ,jtr,18oha vf[ky Hkkjrh; iqfyl “kwfVax LiksV~lZ izfr;ksfxrk 2024&25,mRrj izns'k
187,"fyizkebZ lriFkh
lk{kh flag
cj[kk lksudj
eulk chih
jkxuh >ka
vuqjk/kk lsB
uSUlh xqIrk
eukyh cksjk
vuqlqbZ;k luy th ukFk","ckLdsVcky 
¼efgyk Vhe½",Lo.kZ,izFke vf[ky Hkkjrh; iqfyl gS.Mcky@ckLdsVcky izfr;ksfxkr 2024&25,"mMhlk
mRrj izns'k
mRrj izns'k
dukZVd
NRrhlx<
mMhlk
mRrj izns'k
e/; izns'k
dsjy"
188,"vkdk'k iokaj
lR;thr pijkuk
fgeka'kw flag
lfpu pkS/kjh
 'kjn lw;Zoa'kh
QSly [kku
v{k; dqekj Mh
fnfXot; flag
g""kZ Mkxj
eks- dSQ
dq'ky flag","ckLdsVcky 
¼iq:""k Vhe½",Lo.kZ,izFke vf[ky Hkkjrh; iqfyl gS.Mcky@ckLdsVcky izfr;ksfxkr 2024&25,"mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
mRrj izns'k
dukZVd
jktLFkku
mRrj izns'k
mRrj izns'k"
189,efgyk Vhe,cSMfeUVu,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
190,"iq:""k Vhe",cSMfeUVu,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
191,"tquSn vUlkjh
fjpk ;kno",cSMfeUVu,dkaL;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
192,"jktu ;kno
fleju pkS/kjh",cSMfeUVu,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
193,tquSn vUlkjh o vU;,cSMfeUVu,dkaL;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
194,fleju pkS/kjh,cSMfeUVu,dkaL;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
195,fjpk ;kno,cSMfeUVu,dkaL;,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
196,"dfiy
fi;w""k",cSMfeUVu,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
197,"fleju pkS/kjh
fjpk ;kno",cSMfeUVu,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj izfr;ksfxrk 2024&25,mRrj izns'k
198,"vjfoUn pkS/kjh
d`"".kk flag
lqczrjkt oekZ
fo'kky jkt",Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,"mRrj izns'k
mRrj izns'k
mRrj izns'k
fcgkj"
199,vjfoUn pkS/kjh,Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
200,"lqczrjkt oekZ
J`f""V tk;loky",Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
201,lqczrjkt oekZ,Vscy Vsful,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
202,"vjfoUn pkS/kjh
xquxqu lkgw",Vscy Vsful,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
203,"xquxqu lkgw
J`f""V tk;loky",Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
204,"l`f""V tk;loky",Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
205,"xquxqu lkgw
J`f""V tk;loky",Vscy Vsful,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
206,xquxqu lkgw,Vscy Vsful,jtr,izFke vf[ky Hkkjrh; iqfyl cSMfeUVu DyLVj ¼cSMfeUVu@Vscy Vsful½ izfr;ksfxrk 2024&25,mRrj izns'k
207,vkj{kh tfru,twMks,Lo.kZ,dkeuosYFk twMks pSfEi;uf'ki 2023,gfj;k.kk
208,vkj{kh vLFkk ikgok,ckfDlax,dkaL;,Boxam International boxing tournament 2-01-2024 to 04-02-2024,mRrj izns'k
209,vkj{kh vt; ;kno,twMks,Lo.kZ,dkeuosYFk twMks pSfEi;uf'ki,mRrj izns'k
210,efgyk vkj{kh vfLerk Ms,twMks,jtr,dkeuosYFk twMks pSfEi;uf'ki,f=iqjk
211,vkj{kh v:.k lkguh,gkWdh,dkaL;,11oha lqYrku vkWQ tksgj di&2023,mRrj izns'k
212,"iq""ik ;kno",dq'rh,Lo.kZ,";w&23 o ;w&17 ,f'k;u Qzh LVkbZy] xzhdksjkseu LVkbZy o owesu jslfyax pSfEi;uf'ki 2024",mRrj izns'k
213,232510168 vafdr,dq'rh,jtr,";w&23 o ;w&17 ,f'k;u Qzh LVkbZy] xzhdksjkseu LVkbZy o owesu jslfyax pSfEi;uf'ki 2024",mRrj izns'k
214,e/kq flag,rkbZDok.Mks,dkaL;,"cSadkd] FkkbZyS.M esa vk;ksftr vUrZjk""Vªh; rkbZDok.Mks izf'k{k.k ,Dlikstj",mRrj izns'k
215,jktu dqekj,okVjLiksVZ~l,dkaL;,fQfyfiUl esa vk;ksftr ICF Dragon Boat wold Championship ,iatkc
216,tfru,twMks,dkaL;,"ek vksu lkg LiksV~l ls.Vj] gkaxdkax esa vk;ksftr ,f'k;u twMks vksiu 2024",gfj;k.kk
217,vkj{kh pUnu ;kno,gkWdh,Lo.kZ,सुल्तान जौहर कप -2024,mRrj izns'k
218,vkj{kh pUnu ;kno,gkWdh,Lo.kZ,पुरूष जूनियर एशिया कप - 2024,mRrj izns'k
219,e-vkj{kh vfLerk Ms,twMks,Lo.kZ,16-01-2025 dks vQzhdu vksiu di,f=iqjk
220,e-vkj{khgqek [kku,oq'kw,Lo.kZ,5th Acropolis International Wushu open Tournament,mRrj izns'k
221,f”koe,oq'kw,Lo.kZ,5th Acropolis International Wushu open Tournament,gfj;k.kk
222,e-vkj{kh izhrh,oq'kw,Lo.kZ,5th Acropolis International Wushu open Tournament,mRrj izns'k
223,lfpu ;kno,",FkysfVDl",jtr,"26oha ,f'k;u ,FkysfVDl pSfEi;uf'ki 2025",mRrj izns'k
224,lwjt ;kno,oq'kw,Lo.kZ,eksLdks oq'kw LVkj pSfEi;uf'ki,mRrj izns'k
225,fufru pkS/kjh,oq'kw,dkaL;,"f}rh; oq'kw lk.Mk ,f'k;k di",mRrj izns'k
226,efgyk vkj{kh fMEiy flag,ØkWld.Vªh,jtr,"53oha jk""Vªh; ØkWld.Vªh pSfEi;uf'ki",mRrj izns'k
227,"g""kZ Mkxj
dq'ky flag
eks- dSQ",ckLdsVcky,Lo.kZ,13वीं जूनियर नेशनल बास्केटबाल चैम्‍पियनशिप,"gfj;k.kk
mRrj izns'k
mRrj izns'k"
228,पुष्पा यादव,dq'rh,jtr,37वें नेशनल गेम्स 2023 ,mRrj izns'k
229,शुभम,dq'rh,dkaL;,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
230,आयुष कुमार,dq'rh,dkaL;,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
231,तेजवीर सिंह यादव,dq'rh,jtr,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
232,अजीत कुमार,dq'rh,jtr,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
233,चंचल सिरोही,dq'rh,dkaL;,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
234,पुष्पा यादव,dq'rh,dkaL;,lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
235,प्रेरणा,oq'kw,dkaL;,37वें नेशनल गेम्स 2023 ,fnYyh
236,fiz;adk,oq'kw,jtr,37वें नेशनल गेम्स 2023 ,iatkc
237,रवि सूर्यवंशी,oq'kw,jtr,37वें नेशनल गेम्स 2023 ,mRrj izns'k
238,बलवीर जाट,okVjLiksVZ~l,jtr,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023 ,e/; izns'k
239,अजयवीर सिंह,okVjLiksVZ~l,jtr,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
240,प्रदीप कुमार,okVjLiksVZ~l,dkaL;,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
241,प्रदीप कुमार,okVjLiksVZ~l,jtr,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
242,विशाल कुमार,okVjLiksVZ~l,jtr,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
243,विशाल कुमार,okVjLiksVZ~l,dkaL;,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
244,प्रशान्त तोमर,okVjLiksVZ~l,dkaL;,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
245,विक्रान्त डबास,okVjLiksVZ~l,dkaL;,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
246,सत्यम बालियान,okVjLiksVZ~l,jtr,34वीं नेशनल कैनो स्प्रिंट सीनियर म०⁄पु० चैम्पियनशिप-2023,mRrj izns'k
247,सुखदीप सिंह,okVjLiksVZ~l,Lo.kZ,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,mRrj izns'k
248,आदित्य सिंह,okVjLiksVZ~l,Lo.kZ,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,mRrj izns'k
249,लोकेश,okVjLiksVZ~l,Lo.kZ,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,gfj;k.kk
250,शोभित पाण्डेय,okVjLiksVZ~l,dkaL;,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,mRrj izns'k
251,करनबीर सिंह बिन्दर,okVjLiksVZ~l,dkaL;,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,mRrj izns'k
252,करनबीर सिंह बिन्दर,okVjLiksVZ~l,dkaL;,41वीं सीनियर नेशनल रोईंग चैम्पियनशिप,mRrj izns'k
253,रिंकी शर्मा,ckfDlax,dkaL;,7th Elite women national Boxing champinship,mRrj izns'k
254,Js; Hkkj}kt,vkpZjh,jtr,37osa us'kuy xsEl esa >kj[k.M Vhe dh vksj ls,fcgkj
255,fiz;adk fldjokj,",FkysfVDl",jtr,1st National Open Relay Carnival 2024 ,mRrj izns'k
256,गौरव शर्मा, 'kwfVax,dkaL;,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,Qjhnkckn
257,गौरव शर्मा, 'kwfVax,Lo.kZ,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,Qjhnkckn
258,गौरव शर्मा, 'kwfVax,Lo.kZ,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,Qjhnkckn
259,गौरव शर्मा, 'kwfVax,Lo.kZ,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,Qjhnkckn
260,गौरव शर्मा, 'kwfVax,jtr,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,Qjhnkckn
261,मनीषा पाल, 'kwfVax,Lo.kZ,66वीं नेशनल शूटिंग चैम्पियनशिप भोपाल मध्य प्रदेश,mRrj izns'k
262,fiz;ka'kh iztkifr,dq'rh,Lo.kZ,"jk""Vªh; iq-@e- dq'rh izfr;ksfxrk v.Mj&20",e/; izns'k
263,lkSjHk ekS;kZ,vkpZjh,Lo.kZ,"43oha ,uVhih,lh twfu;j us'kuy rhjankth izfr;ksfxrk",mRrj izns'k
264,lkSjHk ekS;kZ,vkpZjh,jtr,37os us'kuy xsEl,mRrj izns'k
265, 'kqHke,dq'rh,Lo.kZ,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
266,rstohj flag,dq'rh,jtr,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
267,ekulh ;kno,dq'rh,jtr,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
268,papy fljksgh,dq'rh,dkaL;,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
269,vthr dqekj,dq'rh,jtr,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
270,Hkksyw ;kno,dq'rh,jtr,"us'kuy QsMjs'ku di efgyk@iq:""k dq'rh izfr;ksfxrk",mRrj izns'k
271,eksgEen gkfjl,gkWdh,dkaL;,37osa us'kuy xsEl xksok,mRrj izns'k
272,"euh""kk iky", 'kwfVax,Lo.kZ,22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,mRrj izns'k
273,usgk, 'kwfVax,jtr,22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,mRrj izns'k
274,"e- vkj{kh euh’kk iky o 
e-vkj{kh usgk ", 'kwfVax,Lo.kZ,22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,mRrj izns'k
275,xkSjo 'kekZ, 'kwfVax,dkaL;,22oha dqekj lqjsUnz flag eseksfj;y 'kwfVax pSfEi;uf'ki ,mRrj izns'k
276,lfpu ;kno,",FkysfVDl",Lo.kZ,bf.M;u xzSaM fizDl lhtu&3 izfr;ksfxrk,mRrj izns'k
277,ekulh ;kno,dq'rh,dkaL;,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",mRrj izns'k
278,fo'kky lkguh,dq'rh,dkaL;,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",mRrj izns'k
279,vuwi ;kno,dq'rh,dkaL;,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",mRrj izns'k
280,vafdr,dq'rh,dkaL;,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",gfj;k.kk
281,lfpu,dq'rh,jtr,";wFk&23 jk""Vªh; dq'rh izfr;ksfxrk ",gfj;k.kk
282,lfpu ;kno,",FkysfVDl",jtr,"63oha us'kuy vksiu ,FkysfVDl pSfEi;uf'ki",mRrj izns'k
283,lwjt iky,gkWdh,jtr,14oha gkWdh bf.M;k twfu;j esUl us'kuy pSfEi;uf'ki,mRrj izns'k
284,vafdr iztkifr,gkWdh,jtr,14oha gkWdh bf.M;k twfu;j esUl us'kuy pSfEi;uf'ki,mRrj izns'k
285,jfo lw;Zoa”kh,oq'kw,Lo.kZ,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",mRrj izns'k
286,jfo lw;Zoa”kh,oq'kw,jtr,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",mRrj izns'k
287,eksfgr Fkkik,oq'kw,dkaL;,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",mRrj izns'k
288,Jqfr ljoS;k,oq'kw,Lo.kZ,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",mRrj izns'k
289,lwjt ;kno,oq'kw,Lo.kZ,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",mRrj izns'k
290,veu,oq'kw,dkaL;,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",gfj;k.kk
291,fiz;adk,oq'kw,jtr,"33oha jk""Vªh; lhfu;j oq'kw izfr;ksfxrk 2024",iatkc
292,js'kek iVsy,",FkysfVDl",Lo.kZ,"vaMj 23 vksiu us'kuy ,FkysfVDl pSfEi;uf'ki ¼vuqefr ugha yh x;h½",mRrj izns'k
293,e/kq flag,rkbZDok.Mks,jtr,40oha lhfu;j us'kuy rkbZDok.Mks pSfEi;uf'ki,mRrj izns'k
294,lhek dukSft;k,rkbZDok.Mks,dkaL;,40oha lhfu;j us'kuy rkbZDok.Mks pSfEi;uf'ki,mRrj izns'k
