vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
245,lkekU;,vkeZ jsfLyax,112761530,e-eq-vk- nhik pkS/kjh,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,80$ fdxzk-,Lo.kZ
246,lkekU;,vkeZ jsfLyax,191860344,eq-vk- fodkl ukxj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,110 fdxzk-,jtr
247,lkekU;,vkeZ jsfLyax,212022946,vk- 'kqHke ukxj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,100 fdxzk-,dkaL;
248,lkekU;,vkeZ jsfLyax,052330197,c`ts'k dqekj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,110$ fdxzk-,dkaL;
249,lkekU;,vkeZ jsfLyax,190732750,vk- jkgqy dqekj,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,85 fdxzk-,Lo.kZ
250,lkekU;,vkeZ jsfLyax,190754963,vk- jkgqy jkds'k,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,80 fdxzk-,jtr
251,dq-f[k-,ckfDalx,232330135,vk- xxunhi,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,71 fdxzk-,jtr
252,dq-f[k-,ckfDalx,232330018,vk- jkWdh pkS/kjh,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,80 fdxzk-,jtr
253,dq-f[k-,ckfDalx,232650080,"vk- d`"".kk flag",73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,86 fdxzk-,jtr
254,dq-f[k-,ckfDalx,232330157,आ. जावेद,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,51 fdxzk-,dkaL;
255,dq-f[k-,ckfDalx,232330223,आ. सुनील चौहान,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,60 fdxzk-,dkaL;
256,dq-f[k-,ckfDalx,234130229,आ. सक्षम सिंह,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,67 fdxzk-,dkaL;
257,dq-f[k-,ckfDalx,234240353,आ. विशाल यादव,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,92 fdxzk-,dkaL;
258,dq-f[k-,ckfDalx,232510706,म.आ. कुसुम,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,54 fdxzk-,dkaL;
259,dq-f[k-,ckfDalx,232510559,म.आ. सिवी,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,60 fdxzk-,dkaL;
260,lkekU;,ckMh fcfYMax,62018047,मु आ सन्दीप कुमार,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,100 fdxzk-,jtr
261,lkekU;,ckMh fcfYMax,162332373,आ रिंकू भाटी,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,y[kuÅ,09-09-2024 ls 13-09-2024,2024,90 fdxzk-,dkaL;
262,lkekU;,ikoj fyf¶Vax,182141645,e-vk- jtuh,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,47 fdxzk-,jtr
263,lkekU;,ikoj fyf¶Vax,192412155,e-vk- iwtk ukxj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,52 fdxzk-,jtr
264,lkekU;,ikoj fyf¶Vax,182536348,e-vk- laxhrk,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,57 fdxzk-,jtr
265,lkekU;,ikoj fyf¶Vax,182670637,"e-vk- iq""ik pkgj",01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,63 fdxzk-,Lo.kZ
266,lkekU;,ikoj fyf¶Vax,190755634,vk- jkds'k dqekj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,59 fdxzk-,jtr
267,lkekU;,ikoj fyf¶Vax,152012946,vk- iou dqekj 'kekZ,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,66 fdxzk-,Lo.kZ
268,lkekU;,ikoj fyf¶Vax,192121965,vk- dVkj flag,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,74 fdxzk-,Lo.kZ
269,lkekU;,ikoj fyf¶Vax,&,Qk;jeSu fo'kky pkS/kjh,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,83 fdxzk-,Lo.kZ
270,lkekU;,ikoj fyf¶Vax,&,e-vk- fiz;adk 'kqDyk,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,76 fdxzk-,dkaL;
271,dq-f[k-,HkkjksRrksyu,232030208,vk- jksfgr dqekj ;kno,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,55 fdxzk-,jtr
272,dq-f[k-,HkkjksRrksyu,234240294,vk- lqns'k dqekj ik.Ms;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,61 fdxzk-,dkaL;
273,dq-f[k-,HkkjksRrksyu,234240236,e-vk- jk/kk lksuh,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,49 fdxzk-,dkaL;
274,dq-f[k-,HkkjksRrksyu,232010105,e-vk- 'kkfyuh,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,55 fdxzk-,jtr
275,dq-f[k-,HkkjksRrksyu,232510605,vk- izos'k cSlks;k,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,73 fdxzk-,dkaL;
276,dq-f[k-,HkkjksRrksyu,232650107,vk- vkdk'k,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,81 fdxzk-,dkaL;
277,dq-f[k-,HkkjksRrksyu,&,lyksuh flag,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,59 fdxzk-,dkaL;
278,dq-f[k-,HkkjksRrksyu,&,fl)kUr pkS/kjh,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,102 fdxzk-,Lo.kZ
279,lkekU;,HkkjksRrksyu,&,c`ts'k dqekj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,89 fdxzk-,Lo.kZ
280,lkekU;,;ksxk,"182550616
162101007","lxqQk rkSghn]
liuk f}osnh",01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,fjnfed is;j,dkaL;
281,lkekU;,;ksxk,&,"eq-vk- vuqjkx efyd
eq-vk- c`ts'k iz/kku",01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,fjnfed is;j,Lo.kZ
282,lkekU;,;ksxk,&,fd'ku dqekj] c`ts'k iz/kku] vuqjkx efyd] jktdqekj fcUn] jfoUnz flag,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,vkfVZfLVd xzqi,jtr
283,lkekU;,;ksxk,&,"jktho dqekj
vjfoUn flag",01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,vkfVZfLVd is;j,jtr
284,lkekU;,;ksxk,&,fjrq Bkdqj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,28&35,Lo.kZ
285,lkekU;,;ksxk,&,fd”ku dqekj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,lhfu;j ;ksxk,Lo.kZ
286,lkekU;,;ksxk,&,vuqjkx efyd,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,lhfu;j ;ksxk,jtr
287,lkekU;,;ksxk,&,fd”ku dqekj] jktdqekj,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,vkfVZfLVd is;j,dkaL;
288,lkekU;,;ksxk,&,fjrw Bkdqj] eksfudk “kqDyk,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,vkfVZfLVd is;j,jtr
289,lkekU;,;ksxk,&,egs”kpUnz R;kxh] gfjvkse falg] jktho dqekj] vjfoUn flag] dey flag,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,vkfVZfLVd ;ksxklu xzqi,jtr
290,lkekU;,;ksxk,&,Lkk/kuk ik.Ms;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,nqxZ] fHkykbZ,23-09-2024 ls 27-09-2024,2024,lhfu;j ;ksxk,dkaL;
291,dq-f[k-,",FkysfVDl",232290301,e-vkj{kh mtkyk,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10]000eh-,Lo.kZ
292,dq-f[k-,",FkysfVDl",232510719,vkj{kh fizUl dqekj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10]000eh-,Lo.kZ
293,dq-f[k-,",FkysfVDl",232530014,vkj{kh eks- vyhe,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10]000eh-,jtr
294,dq-f[k-,",FkysfVDl",232030123,e-vkj{kh eerk iky,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10]000eh-,dkaL;
295,dq-f[k-,",FkysfVDl",234100499,vkj{kh bjQku,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,800eh- ju,Lo.kZ
296,dq-f[k-,",FkysfVDl",232330278,e-vkj{kh [kq'kcw oekZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,fVªiy tEi,dkaL;
297,dq-f[k-,",FkysfVDl",234100183,vkj{kh dju dqekj ljkst,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,iksy okYV,dkaL;
298,lkekU;,",FkysfVDl",180540378,ihlh cyjke,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10]000eh-,dkaL;
299,dq-f[k-,",FkysfVDl",232330092,vk- fjfrd ckfy;ku,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,LVhiy psl,Lo.kZ
300,dq-f[k-,",FkysfVDl",234240223,e-vk- fjfRodk flag,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,100eh- gMZy,dkaL;
301,dq-f[k-,",FkysfVDl",232030266,vk- lUnhi dqekj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,gkbZ tEi,dkaL;
302,dq-f[k-,",FkysfVDl",232330050,vk- vkdk'k xzsgoky,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024, 'kkViqV,jtr
303,dq-f[k-,",FkysfVDl",232650064,vk- f'koe pkS/kjh,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024, 'kkViqV,dkaL;
304,dq-f[k-,",FkysfVDl",234240135,e-vk- js'kek iVsy,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,10fdeh okdpky,Lo.kZ
305,dq-f[k-,",FkysfVDl",232330164,vk- lfpu ;kno,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,tSofyu,Lo.kZ
306,dq-f[k-,",FkysfVDl",232510748,vk- vk;Zu pkS/kjh,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,ykWx tEi,Lo.kZ
307,dq-f[k-,",FkysfVDl",232510719,vk- fizUl dqekj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,5000eh- ju,Lo.kZ
308,lkekU;,",FkysfVDl",180540378,ihlh cyjke,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,5000eh- ju,jtr
309,dq-f[k-,",FkysfVDl",232530014,vk- eks- vyhe,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,5000eh- ju,dkaL;
310,dq-f[k-,",FkysfVDl",&,fiz;adk fldjokj] jks'kuh ;kno] Vhuk] fjadh iky,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,4x100eh-,Lo.kZ
311,dq-f[k-,",FkysfVDl",&,yfo'k 'kekZ] f'kokax feJk] iadt] eksfgr dqekj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,4x100eh-,Lo.kZ
312,lkekU;,",FkysfVDl",182480616,e-vk- euksjek,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,1500eh-,jtr
313,dq-f[k-,",FkysfVDl",232290082,e-vk- yoyh jktiwr,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,400eh- gMZy,jtr
314,dq-f[k-,",FkysfVDl",234130157,vk- vHk; ukjk;.k ;kno,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,400eh- gMZy,dkaL;
315,dq-f[k-,",FkysfVDl",232330281,e-vk- fiz;adk fldjokj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,200eh,dkaL;
316,dq-f[k-,lkbfDyax,232510836,e-vk- :fpdk flag,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,30fdeh-,dkaL;
317,dq-f[k-,lkbfDyax,232330425,vkj{kh eqdqy,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,30fdeh-,dkaL;
318,dq-f[k-,lkbfDyax,232510214,e-vkj{kh vkjrh,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,80fdeh-,Lo.kZ
319,dq-f[k-,lkbfDyax,232510214,e-vkj{kh vkjrh,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,30fdeh-,jtr
320,lkekU;,lkbfDyax,180500420,vk- lquhy dqekj lkguh,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,20fdeh-,jtr
321,lkekU;,lkbfDyax,192032852,e-vk- vuhrk feJk,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,15fdeh-,dkaL;
322,lkekU;,lkbfDyax,190733838,vk- jfo dqekj,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",ubZ fnYyh,10-11-2024 ls 14-11-2024,2024,20fdeh-,dkaL;
323,lkekU;,आर्चरी,160450846,मु.आ.जयदीप कुशवाहा,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,इण्डियन राउण्ड 50 मीटर (पुरूष),jtr
324,dq-f[k-,आर्चरी,232290284,आ. वासू सैनी,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ओलम्पिक राउण्ड,dkaL;
325,dq-f[k-,आर्चरी,232030064,म.आ. दीपिका पाण्डेय,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,इण्डियन राउण्ड 30 मीटर (महिला),Lo.kZ
326,dq-f[k-,आर्चरी,232030064,म.आ. दीपिका पाण्डेय,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ऑल ओवर,Lo.kZ
327,dq-f[k-,आर्चरी,232030064,म.आ. दीपिका पाण्डेय,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ओलम्पिक राउण्ड,Lo.kZ
328,dq-f[k-@lk-,आर्चरी,"160450846
232030064","मु.आ.जयदीप कुशवाहा
म.आ. दीपिका पाण्डेय",13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,मिक्स टीम,dkaL;
329,dq-f[k-,आर्चरी,234240366,आ. श्रेय भारद्वाज,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,रिकर्व राउण्ड 30 मीटर (पुरूष),Lo.kZ
330,dq-f[k-,आर्चरी,234240366,आ. श्रेय भारद्वाज,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,रिकर्व राउण्ड 70 मीटर (पुरूष),jtr
331,dq-f[k-,आर्चरी,234240366,आ. श्रेय भारद्वाज,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ऑल ओवर,jtr
332,dq-f[k-,आर्चरी,230490972,आ.तरूण कुमार दीक्षित,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,कम्पाउण्ड राउण्ड 50 मीटर प्रथम राउण्ड (पुरूष),Lo.kZ
333,dq-f[k-,आर्चरी,230490972,आ.तरूण कुमार दीक्षित,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ऑल ओवर,Lo.kZ
334,dq-f[k-,आर्चरी,230490972,आ.तरूण कुमार दीक्षित,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,ओलम्पिक राउण्ड,dkaL;
335,dq-f[k-,आर्चरी,230490972,आ.तरूण कुमार दीक्षित,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,कम्पाउण्ड राउण्ड 50 मीटर द्वितीय राउण्ड (पुरूष),dkaL;
336,dq-f[k-,आर्चरी,232290200,आ. हर्ष वालियान,13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,कम्पाउण्ड राउण्ड 50 मीटर (पुरूष),jtr
337,dq-f[k-,आर्चरी,"230490972
232290226
232330021
232290200","आ.तरूण कुमार दीक्षित
आ. अनन्त सैनी
आ.निशान्त मलिक
आ. हर्ष वालियान",13वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता 2024,39BN ITBP ग्रेटर नोएडा,09.12.2024 से 13.12.2024 तक,2024,टीम ईवेन्ट,Lo.Kz
338,lkekU;,dEI;wVj vos;us'k,"170952967
175092581","vfiZr xqIrk
etgj beke",68oha vf[ky Hkkjrh; iqfyl M~;wVh ehV izfr;ksfxrk 2024&25,jkaph >kj[k.M,"10-02-2025 ls 
15-02-2025 ",2025,dEI;wVj vos;usl bosUV&lll,Lo.kZ
339,dq-f[k-,okVj LiksVZ~l,"232290343
234100239","djuchj flag fHkUMj
“kksfHkr ik.Ms;", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,jkbZax 2000eh- Mcy Ldy,Lo.kZ
340,dq-f[k-@lk-,okVj LiksVZ~l,"234240470
190721163
232510937
232330601 ","nhika”kq Hkkjrh;
c`teksgu ;kno
g’kZ dqekj
jkSud", 24oha vf[ky Hkkjrh; iqfyl okVjLiksV~Zl izfr;ksfxrk ,Hkksiky,"17-02-2025 ls
21-02-2025",2025,D;kfdax ds&4 1000eh-,Lo.kZ
